match,market,selection,odds,model_prob,implied_prob,edge,result,pnl,league,tier,date
Leverkusen vs Union Berlin,1X2,Away,3.43,0.5233566270625718,0.29154518950437314,0.23181143755819866,L,-10.0,Bundesliga,1,2022-11-06
Aston Villa vs Man United,1X2,Home,3.39,0.3807226688282171,0.2949852507374631,0.08573741809075397,W,23.900000000000002,Premier League,1,2022-11-06
Chelsea vs Arsenal,1X2,Away,2.7,0.49435708420358615,0.37037037037037035,0.1239867138332158,W,17.0,Premier League,1,2022-11-06
Hamburg vs Regensburg,O/U,Under 2.5,2.39,0.5143304764437804,0.41841004184100417,0.09592043460277622,L,-10.0,2. Bundesliga,2,2022-11-06
Nurnberg vs Magdeburg,O/U,Under 2.5,2.25,0.5087527327728198,0.4444444444444444,0.06430828832837543,L,-10.0,2. Bundesliga,2,2022-11-06
Braunschweig vs Greuther Furth,1X2,Home,2.66,0.47697812673549367,0.37593984962406013,0.10103827711143354,L,-10.0,2. Bundesliga,2,2022-11-06
Utrecht vs Groningen,O/U,Under 2.5,2.11,0.5268060869563327,0.47393364928909953,0.05287243766723315,L,-10.0,Eredivisie,1,2022-11-06
Panathinaikos vs Olympiakos,1X2,Home,2.21,0.6124400352500519,0.45248868778280543,0.15995134746724643,L,-10.0,Super League,1,2022-11-06
Fenerbahce vs Sivasspor,1X2,Home,1.35,0.7932545462744913,0.7407407407407407,0.052513805533750624,W,3.500000000000001,Super Lig,1,2022-11-07
Reggina vs Genoa,1X2,Home,3.07,0.472926911002795,0.32573289902280134,0.14719401197999366,W,20.7,Serie B,2,2022-11-07
Blackpool vs Middlesbrough,1X2,Home,3.2,0.4115331880182149,0.3125,0.09903318801821492,L,-10.0,Championship,2,2022-11-08
Wolfsburg vs Dortmund,1X2,Home,3.11,0.4297980238755815,0.3215434083601286,0.1082546155154529,W,21.099999999999998,Bundesliga,1,2022-11-08
Stuttgart vs Hertha,O/U,Under 2.5,2.13,0.5283053200753709,0.4694835680751174,0.058821752000253524,L,-10.0,Bundesliga,1,2022-11-08
Ath Bilbao vs Valladolid,O/U,Under 2.5,2.13,0.5432777025213562,0.4694835680751174,0.07379413444623883,L,-10.0,La Liga,1,2022-11-08
AEK vs OFI Crete,O/U,Under 2.5,2.25,0.5099475459176223,0.4444444444444444,0.06550310147317784,L,-10.0,Super League,1,2022-11-09
Ein Frankfurt vs Hoffenheim,1X2,Home,1.93,0.5979113454748473,0.5181347150259068,0.07977663044894046,W,9.299999999999999,Bundesliga,1,2022-11-09
Almeria vs Getafe,O/U,Over 2.5,2.37,0.4865232688736535,0.42194092827004215,0.06458234060361134,L,-10.0,La Liga,1,2022-11-09
Volos NFC vs Giannina,O/U,Over 2.5,2.14,0.5596703897915606,0.4672897196261682,0.09238067016539236,W,11.400000000000002,Super League,1,2022-11-10
Volos NFC vs Giannina,1X2,Home,1.76,0.6191765829678791,0.5681818181818182,0.05099476478606091,W,7.6,Super League,1,2022-11-10
Vallecano vs Celta,O/U,Over 2.5,2.2,0.5545890129765685,0.45454545454545453,0.10004355843111395,L,-10.0,La Liga,1,2022-11-10
Vallecano vs Celta,1X2,Home,2.17,0.6030335897324262,0.4608294930875576,0.14220409664486855,L,-10.0,La Liga,1,2022-11-10
Magdeburg vs Darmstadt,O/U,Under 2.5,2.23,0.5218934644639459,0.4484304932735426,0.07346297119040329,W,12.3,2. Bundesliga,2,2022-11-10
M'gladbach vs Dortmund,1X2,Home,3.24,0.4627291157041622,0.30864197530864196,0.15408714039552024,W,22.400000000000002,Bundesliga,1,2022-11-11
Holstein Kiel vs Hannover,O/U,Under 2.5,2.16,0.5207017476249072,0.4629629629629629,0.057738784661944265,W,11.600000000000001,2. Bundesliga,2,2022-11-11
Ascoli vs Frosinone,1X2,Home,3.05,0.40822403368786797,0.3278688524590164,0.08035518122885155,L,-10.0,Serie B,2,2022-11-11
Sparta Rotterdam vs Twente,1X2,Home,2.96,0.47086534857019036,0.33783783783783783,0.13302751073235253,L,-10.0,Eredivisie,1,2022-11-11
